name,site,image url
Is This ‘Sugar-Free Sugar’ Bag Real?,https://www.snopes.com/fact-check/sugar-free-sugar/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/sugar_free_sugar_faux.jpg?resize=542,305"
Did Anti-Trump Protesters Call for Republicans to Be Assassinated?,https://www.snopes.com/fact-check/trump-protesters-assassinate-republicans/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/protest_sign_assassinate_republicans_meme.jpg?resize=542,305"
Was a Child Expelled From School for Wearing a Donald Trump Costume?,https://www.snopes.com/fact-check/was-child-expelled-trump-costume/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/kid_dressed_as_trump_meme.jpg?resize=542,305"
Did a Man Save His Friend From a Reptilian Attack with an Elbow Drop?,https://www.snopes.com/fact-check/did-man-save-friend-from-reptilian-attack/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/fllying_elbow_alligator_faux.jpg?resize=542,305"
Are These Women ‘Democrat Party Supporters’ Protesting Trump?,https://www.snopes.com/fact-check/are-these-women-protesting-trump/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/naked_women_protesting_meme.jpg?resize=542,305"
Did the King of the Netherlands Tell Donald Trump That The Hague Is Waiting for Him?,https://www.snopes.com/fact-check/did-king-tell-trump-hague/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/king_of_netherlands_parody_trump_tweet.jpg?resize=542,305"
Is an ‘Obama Don’t Separate Me From My Mommy’ Protest Sign Real?,https://www.snopes.com/fact-check/obama-dont-separate-mommy-protest-sign-real/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/obama_dont_separate_me_from_my_mommy_protest_tweet.jpg?resize=542,305"
Did Melania Trump Wear This Jacket on Her Way to Visit Children Separated from Their Families?,https://www.snopes.com/fact-check/melania-trump-wear-jacket-visiting-children-separated-families/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/flotus_jacket.png?resize=542,305"
Were These Children Separated From Their Parents Under Obama?,https://www.snopes.com/fact-check/are-these-children-separated-by-obama/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/obama_separated_kids.png?resize=542,305"
Does This Photograph Show Border Agents Forcibly Separating Children From Families?,https://www.snopes.com/fact-check/is-photograph-border-agents-separating-children/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/trump_separating_families_miscaption_meme.jpg?resize=542,305"
Were Gun-Toting Children Photographed on the United States Border?,https://www.snopes.com/fact-check/gun-toting-children-photographed-united-states-border/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/drudge_report_kids_with_guns_meme.jpg?resize=542,305"
Is This Japan’s Lake Kawaguchi?,https://www.snopes.com/fact-check/is-this-lake-kawaguchi/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/lake_kawaguchi_mt_fuji_fb.jpg?resize=542,305"
Are Meghan Markle and Prince Harry Robots?,https://www.snopes.com/fact-check/meghan-harry-royal-robots/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/prince_harry_meghan_markle.jpg?resize=542,305"
Are These Penguins Living on an Island of Plastic?,https://www.snopes.com/fact-check/are-penguins-living-island-plastic/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/penguins_plastic_island.jpg?resize=542,305"
Did ‘the Whole of London’ Protest in Support of Far-Right Activist Tommy Robinson?,https://www.snopes.com/fact-check/tommy-robinson-protest-photo/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/tommy_robinson_protest_tweet.jpg?resize=542,305"
Does This Image Show a Toddler in a Cage Detained by ICE in 2018?,https://www.snopes.com/fact-check/toddler-cage-photo/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/40219031535_740be6c3e6_o.jpg?resize=542,305"
Did the ‘Distracted Boyfriend’ Meme Come From a 1920’s Silent Film?,https://www.snopes.com/fact-check/distracted-boyfriend-meme-come-real-movie/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/charlie_chaplin_distracted_boyfriend.jpg?resize=542,305"
Are These Immigrant Children in Orange Jumpsuits?,https://www.snopes.com/fact-check/are-children-orange-jumpsuits/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/immigrant-kids-fb-.jpg?resize=542,305"
Did Justin Trudeau’s Eyebrow Fall Off at the G7 Summit?,https://www.snopes.com/fact-check/justin-trudeaus-eyebrow/,"https://us-east-1.tchyn.io/snopes-production/uploads/2017/01/justin_trudeau_fb.jpg?resize=542,305"
Are Gasoline Prices Over $6.00 per Gallon in California?,https://www.snopes.com/fact-check/los-angeles-gas-price/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/gas_pump.jpg?resize=542,305"
Was a Texting Driver Found Still Clutching a Phone After a Fatal Car Crash?,https://www.snopes.com/fact-check/was-texting-driver-found-clutching-phone/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/texting_driving.jpg?resize=542,305"
Did a Sign for Starbucks Racial Bias Training Single Out White People?,https://www.snopes.com/fact-check/sign-starbucks-racial-bias-training-single-white-people/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/starbucks_sensitivity_training_white_people_faux.jpg?resize=542,305"
Is This Amazing Bouquet Catch Real?,https://www.snopes.com/fact-check/is-amazing-wedding-bouquet-catch-real/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/bridesmaid_bouquet_catch_faux.jpg?resize=542,305"
Is This an Image of Subtropical Storm Alberto Approaching Pensacola Beach?,https://www.snopes.com/fact-check/is-this-alberto-approaching-pensacola-beach/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/Pensacola_Beach_faux.jpg?resize=542,305"
Did Grocery Stores Once Sell ‘Boned Rolled Pig’?,https://www.snopes.com/fact-check/did-stores-sell-boned-rolled-pig/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/boned_rolled_meat_faux.jpg?resize=542,305"
Is This a Photograph of a Children’s Concentration Camp in the U.S.?,https://www.snopes.com/fact-check/childrens-concentration-camp/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/cbp_alone.jpg?resize=542,305"
Did a Woman Abandon Her Son on the Street to Appease Her Partner?,https://www.snopes.com/fact-check/did-woman-abandon-son/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/woman_abandons_son_miscaption_fb.jpg?resize=542,305"
Does This Video Show a Child Flipped by a Fountain?,https://www.snopes.com/fact-check/child-flipped-by-fountain/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/girl_flipped_by_fountain_video_fb.jpg?resize=542,305"
Were Palestinian Martyrs Caught on Video Faking Their Deaths?,https://www.snopes.com/fact-check/martyrs-fake-death-video/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/palestinian_martyrs_faking_death_miscaption_tweet.jpg?resize=542,305"
Does a Photograph Show Germans Protesting High Fuel Prices?,https://www.snopes.com/fact-check/german-fuel-protest-image/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/gas_price_cheating_feature.jpg?resize=542,305"
Is This the Aftermath of a 2018 Plane Crash in Havana?,https://www.snopes.com/fact-check/is-this-plane-crash-havana-cuba/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/havana_plane_crash_mislabel_tweet.jpg?resize=542,305"
Did a Group of Ducks Obey a Traffic Light While Crossing a Street?,https://www.snopes.com/fact-check/did-ducks-obey-traffic-light/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/german_ducks_waiting_cross_street_light_tweet.jpg?resize=542,305"
Was Nikola Tesla a Swimming Instructor?,https://www.snopes.com/fact-check/nikola-tesla-swimming-instructor/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/nikola_tesla_feature.jpg?resize=542,305"
Are These Skiing Ostriches Real?,https://www.snopes.com/fact-check/skiing-ostriches-real/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/skiing_ostrich_fb.jpg?resize=542,305"
Did President Donald Trump Tweet That There Should Be a Mother’s Day for Fathers?,https://www.snopes.com/fact-check/president-donald-trump-tweet-mothers-day-fathers/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/donald_trump.jpg?resize=542,305"
Did Fisher-Price Release a ‘Tiny Toker’ Toy?,https://www.snopes.com/fact-check/did-fisher-price-release-tiny-toker/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fisher_price_tiny_toker_faux.jpg?resize=542,305"
Is the ‘Blue Bow’ Trout Real?,https://www.snopes.com/fact-check/blue-bow-trout-real/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/blue_bow_trout_faux.jpg?resize=542,305"
Does this Photograph Show Military Spouses at the White House?,https://www.snopes.com/fact-check/military-spouses-white-house/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/non-white_military_spouses_tweet.jpg?resize=542,305"
Did a Man Carry His Horse Three Miles After It Was Bitten by a Snake?,https://www.snopes.com/fact-check/man-carry-horse-snakebite/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/man_carry_horse_miscaption_faux.jpg?resize=542,305"
Is This an Asian Giant Hornet?,https://www.snopes.com/fact-check/is-this-asian-giant-hornet/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/asian_giant_hornet_fb.jpg?resize=542,305"
Does This Photograph Show a Couple Kissing During the 1971 May Day Protests?,https://www.snopes.com/fact-check/may-day-protests-kiss/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/rayban_head.jpg?resize=542,305"
Did Heineken Advertise Beer to Babies?,https://www.snopes.com/fact-check/heineken-beer-ad-babies/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/heineken_for_babies_faux.jpg?resize=542,305"
Did President Obama Bow to Ayatollah Khamenei?,https://www.snopes.com/fact-check/president-obama-bow-ayatollah-khamenei/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/obama_bowing_ayatollah_khamenei_meme.jpg?resize=542,305"
Was a Massive Rat Caught in London?,https://www.snopes.com/fact-check/was-twelve-lb-rat-london/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/giant_rat_london_tweet.jpg?resize=542,305"
Does a ‘Welcome to Kansas City’ Sign Contain an Unfortunate Typo?,https://www.snopes.com/fact-check/does-welcome-sign-kansas-city-typo/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/kansas_city_welcome_sign_faux.jpg?resize=542,305"
Is This a Purple Horned Winged Lizard?,https://www.snopes.com/fact-check/purple-horned-winged-lizard/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/purple_horned_winged_lizard_faux.jpg?resize=542,305"
Are Two-Headed Sharks Terrorizing the Ocean?,https://www.snopes.com/fact-check/two-headed-sharks-terrorizing-ocean/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/two_headed_shark_tweet.jpg?resize=542,305"
Is This a Vampire Squid Turning Itself Inside Out?,https://www.snopes.com/fact-check/is-vampire-squid-turning-inside-out/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/vampire_squid.png?resize=542,305"
Is This a Real Hand With Eight Fingers?,https://www.snopes.com/fact-check/real-hand-eight-fingers/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/mirror_hand_eight_fingers.jpg?resize=542,305"
Did an Exorcism Save a House From Destruction During Hurricane Ike?,https://www.snopes.com/fact-check/last-house-standing-hurricane-exorcism/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/Gilchrist_Texas_House_Hurricane_Ike.jpg?resize=542,305"
