count,title,link,cover image url,ground truth
14,Was a Child Expelled From School for Wearing a Donald Trump Costume?,https://www.snopes.com/fact-check/was-child-expelled-trump-costume/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/kid_dressed_as_trump_meme.jpg?resize=542,305",false
15,Did a Man Save His Friend From a Reptilian Attack with an Elbow Drop?,https://www.snopes.com/fact-check/did-man-save-friend-from-reptilian-attack/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/fllying_elbow_alligator_faux.jpg?resize=542,305",miscaptioned
16,Are These Women ‘Democrat Party Supporters’ Protesting Trump?,https://www.snopes.com/fact-check/are-these-women-protesting-trump/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/naked_women_protesting_meme.jpg?resize=542,305",false
17,Did the King of the Netherlands Tell Donald Trump That The Hague Is Waiting for Him?,https://www.snopes.com/fact-check/did-king-tell-trump-hague/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/king_of_netherlands_parody_trump_tweet.jpg?resize=542,305",false
18,Is an ‘Obama Don’t Separate Me From My Mommy’ Protest Sign Real?,https://www.snopes.com/fact-check/obama-dont-separate-mommy-protest-sign-real/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/obama_dont_separate_me_from_my_mommy_protest_tweet.jpg?resize=542,305",miscaptioned
19,Did Melania Trump Wear This Jacket on Her Way to Visit Children Separated from Their Families?,https://www.snopes.com/fact-check/melania-trump-wear-jacket-visiting-children-separated-families/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/flotus_jacket.png?resize=542,305",true
20,Were These Children Separated From Their Parents Under Obama?,https://www.snopes.com/fact-check/are-these-children-separated-by-obama/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/obama_separated_kids.png?resize=542,305",miscaptioned
21,Does This Photograph Show Border Agents Forcibly Separating Children From Families?,https://www.snopes.com/fact-check/is-photograph-border-agents-separating-children/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/trump_separating_families_miscaption_meme.jpg?resize=542,305",miscaptioned
22,Were Gun-Toting Children Photographed on the United States Border?,https://www.snopes.com/fact-check/gun-toting-children-photographed-united-states-border/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/drudge_report_kids_with_guns_meme.jpg?resize=542,305",false
23,Is This Japan’s Lake Kawaguchi?,https://www.snopes.com/fact-check/is-this-lake-kawaguchi/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/lake_kawaguchi_mt_fuji_fb.jpg?resize=542,305",false
24,Are Meghan Markle and Prince Harry Robots?,https://www.snopes.com/fact-check/meghan-harry-royal-robots/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/prince_harry_meghan_markle.jpg?resize=542,305",false
25,Are These Penguins Living on an Island of Plastic?,https://www.snopes.com/fact-check/are-penguins-living-island-plastic/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/penguins_plastic_island.jpg?resize=542,305",false
26,Did ‘the Whole of London’ Protest in Support of Far-Right Activist Tommy Robinson?,https://www.snopes.com/fact-check/tommy-robinson-protest-photo/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/tommy_robinson_protest_tweet.jpg?resize=542,305",miscaptioned
27,Does This Image Show a Toddler in a Cage Detained by ICE in 2018?,https://www.snopes.com/fact-check/toddler-cage-photo/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/40219031535_740be6c3e6_o.jpg?resize=542,305",miscaptioned
28,Did the ‘Distracted Boyfriend’ Meme Come From a 1920’s Silent Film?,https://www.snopes.com/fact-check/distracted-boyfriend-meme-come-real-movie/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/charlie_chaplin_distracted_boyfriend.jpg?resize=542,305",mostly-true
29,Are These Immigrant Children in Orange Jumpsuits?,https://www.snopes.com/fact-check/are-children-orange-jumpsuits/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/immigrant-kids-fb-.jpg?resize=542,305",false
30,Did Justin Trudeau’s Eyebrow Fall Off at the G7 Summit?,https://www.snopes.com/fact-check/justin-trudeaus-eyebrow/,"https://us-east-1.tchyn.io/snopes-production/uploads/2017/01/justin_trudeau_fb.jpg?resize=542,305",miscaptioned
31,Are Gasoline Prices Over $6.00 per Gallon in California?,https://www.snopes.com/fact-check/los-angeles-gas-price/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/gas_pump.jpg?resize=542,305",false
32,Was a Texting Driver Found Still Clutching a Phone After a Fatal Car Crash?,https://www.snopes.com/fact-check/was-texting-driver-found-clutching-phone/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/texting_driving.jpg?resize=542,305",miscaptioned
33,Did a Sign for Starbucks Racial Bias Training Single Out White People?,https://www.snopes.com/fact-check/sign-starbucks-racial-bias-training-single-white-people/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/starbucks_sensitivity_training_white_people_faux.jpg?resize=542,305",false
34,Is This Amazing Bouquet Catch Real?,https://www.snopes.com/fact-check/is-amazing-wedding-bouquet-catch-real/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/bridesmaid_bouquet_catch_faux.jpg?resize=542,305",false
35,Is This an Image of Subtropical Storm Alberto Approaching Pensacola Beach?,https://www.snopes.com/fact-check/is-this-alberto-approaching-pensacola-beach/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/Pensacola_Beach_faux.jpg?resize=542,305",false
36,Did Grocery Stores Once Sell ‘Boned Rolled Pig’?,https://www.snopes.com/fact-check/did-stores-sell-boned-rolled-pig/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/boned_rolled_meat_faux.jpg?resize=542,305",false
37,Is This a Photograph of a Children’s Concentration Camp in the U.S.?,https://www.snopes.com/fact-check/childrens-concentration-camp/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/cbp_alone.jpg?resize=542,305",mixture
38,Did a Woman Abandon Her Son on the Street to Appease Her Partner?,https://www.snopes.com/fact-check/did-woman-abandon-son/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/woman_abandons_son_miscaption_fb.jpg?resize=542,305",miscaptioned
39,Does This Video Show a Child Flipped by a Fountain?,https://www.snopes.com/fact-check/child-flipped-by-fountain/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/girl_flipped_by_fountain_video_fb.jpg?resize=542,305",unproven
40,Were Palestinian Martyrs Caught on Video Faking Their Deaths?,https://www.snopes.com/fact-check/martyrs-fake-death-video/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/palestinian_martyrs_faking_death_miscaption_tweet.jpg?resize=542,305",false
41,Does a Photograph Show Germans Protesting High Fuel Prices?,https://www.snopes.com/fact-check/german-fuel-protest-image/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/gas_price_cheating_feature.jpg?resize=542,305",miscaptioned
42,Is This the Aftermath of a 2018 Plane Crash in Havana?,https://www.snopes.com/fact-check/is-this-plane-crash-havana-cuba/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/havana_plane_crash_mislabel_tweet.jpg?resize=542,305",false
43,Did a Group of Ducks Obey a Traffic Light While Crossing a Street?,https://www.snopes.com/fact-check/did-ducks-obey-traffic-light/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/german_ducks_waiting_cross_street_light_tweet.jpg?resize=542,305",unproven
44,Was Nikola Tesla a Swimming Instructor?,https://www.snopes.com/fact-check/nikola-tesla-swimming-instructor/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/nikola_tesla_feature.jpg?resize=542,305",miscaptioned
45,Are These Skiing Ostriches Real?,https://www.snopes.com/fact-check/skiing-ostriches-real/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/skiing_ostrich_fb.jpg?resize=542,305",false
46,Did President Donald Trump Tweet That There Should Be a Mother’s Day for Fathers?,https://www.snopes.com/fact-check/president-donald-trump-tweet-mothers-day-fathers/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/donald_trump.jpg?resize=542,305",false
47,Did Fisher-Price Release a ‘Tiny Toker’ Toy?,https://www.snopes.com/fact-check/did-fisher-price-release-tiny-toker/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fisher_price_tiny_toker_faux.jpg?resize=542,305",false
48,Is the ‘Blue Bow’ Trout Real?,https://www.snopes.com/fact-check/blue-bow-trout-real/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/blue_bow_trout_faux.jpg?resize=542,305",false
49,Does this Photograph Show Military Spouses at the White House?,https://www.snopes.com/fact-check/military-spouses-white-house/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/non-white_military_spouses_tweet.jpg?resize=542,305",miscaptioned
50,Did a Man Carry His Horse Three Miles After It Was Bitten by a Snake?,https://www.snopes.com/fact-check/man-carry-horse-snakebite/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/man_carry_horse_miscaption_faux.jpg?resize=542,305",miscaptioned
51,Is This an Asian Giant Hornet?,https://www.snopes.com/fact-check/is-this-asian-giant-hornet/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/asian_giant_hornet_fb.jpg?resize=542,305",miscaptioned
52,Does This Photograph Show a Couple Kissing During the 1971 May Day Protests?,https://www.snopes.com/fact-check/may-day-protests-kiss/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/rayban_head.jpg?resize=542,305",false
53,Did Heineken Advertise Beer to Babies?,https://www.snopes.com/fact-check/heineken-beer-ad-babies/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/heineken_for_babies_faux.jpg?resize=542,305",false
54,Did President Obama Bow to Ayatollah Khamenei?,https://www.snopes.com/fact-check/president-obama-bow-ayatollah-khamenei/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/obama_bowing_ayatollah_khamenei_meme.jpg?resize=542,305",false
55,Was a Massive Rat Caught in London?,https://www.snopes.com/fact-check/was-twelve-lb-rat-london/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/giant_rat_london_tweet.jpg?resize=542,305",miscaptioned
56,Does a ‘Welcome to Kansas City’ Sign Contain an Unfortunate Typo?,https://www.snopes.com/fact-check/does-welcome-sign-kansas-city-typo/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/kansas_city_welcome_sign_faux.jpg?resize=542,305",false
57,Is This a Purple Horned Winged Lizard?,https://www.snopes.com/fact-check/purple-horned-winged-lizard/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/purple_horned_winged_lizard_faux.jpg?resize=542,305",false
58,Are Two-Headed Sharks Terrorizing the Ocean?,https://www.snopes.com/fact-check/two-headed-sharks-terrorizing-ocean/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/two_headed_shark_tweet.jpg?resize=542,305",mostly-false
59,Is This a Vampire Squid Turning Itself Inside Out?,https://www.snopes.com/fact-check/is-vampire-squid-turning-inside-out/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/vampire_squid.png?resize=542,305",mostly-true
60,Is This a Real Hand With Eight Fingers?,https://www.snopes.com/fact-check/real-hand-eight-fingers/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/mirror_hand_eight_fingers.jpg?resize=542,305",mixture
61,Did an Exorcism Save a House From Destruction During Hurricane Ike?,https://www.snopes.com/fact-check/last-house-standing-hurricane-exorcism/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/Gilchrist_Texas_House_Hurricane_Ike.jpg?resize=542,305",miscaptioned
62,Did Netflix Announce a ‘God of War’ Series in April 2018?,https://www.snopes.com/fact-check/did-netflix-announce-god-of-war-series/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/gof_of_war_netflix_faux.jpg?resize=542,305",false
63,Is This Sign at the United States-Mexico Border Real?,https://www.snopes.com/fact-check/is-u-s-border-sign-free-stuff-real/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/US_Border_Sign_Free_Stuff_faux.jpg?resize=542,305",false
64,Was a Hearse Towed Away During the Middle of a Funeral?,https://www.snopes.com/fact-check/was-hearse-towed-during-funeral/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/hearse_towed_during_funeral_faux.jpg?resize=542,305",false
65,Is This ‘Apocalyptic Sunset Over Moscow’ Real?,https://www.snopes.com/fact-check/is-sunset-moscow-real/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/moscow_sunset_tweet.jpg?resize=542,305",false
66,Does This Photograph Show a Man Washing Aborted Fetuses in Brazil?,https://www.snopes.com/fact-check/washing-aborted-fetuses/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/man_bathing_aborted_fetus_fb.jpg?resize=542,305",miscaptioned
67,Was Comedian Michelle Wolf Once Arrested for Bestiality?,https://www.snopes.com/fact-check/michelle-wolf-newspaper-arrest/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/michelle-wolf-newspaper_faux.jpg?resize=542,305",false
68,Did a Man Lock His Head in a Cage to Quit Smoking?,https://www.snopes.com/fact-check/did-man-lock-head-cage/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/russian_man_head_cage_meme.jpg?resize=542,305",mostly-true
69,Was Trump Labeled ‘Best President’ or ‘Worst President’ on a ‘Time’ Cover?,https://www.snopes.com/fact-check/was-trump-best-worst-president-time/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/468a03b7229e4723a9c941e0a593ee13-e1524679540399.jpg?resize=542,305",false
70,Did a Daredevil Ride a Motorcycle Across Lake Como?,https://www.snopes.com/fact-check/daredevil-ride-motorcycle-lake-como/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/shutterstock_646534924.jpg?resize=542,305",mostly-true
71,Did an Orca Eat an Ice Fisherman on Camera?,https://www.snopes.com/fact-check/did-orca-eat-an-ice-fisherman/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/killer_whale_eating_ice_fisher_faux.jpg?resize=542,305",false
72,Is a Mysterious Creature Terrorizing Argentina?,https://www.snopes.com/fact-check/mysterious-creature-terrorizing-argentina/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/dogmanhead.jpg?resize=542,305",false
73,Did the BBC Report on a Nuclear War Between NATO and Russia?,https://www.snopes.com/fact-check/bbc-nato-russia-nuclear-incident/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/NATO_Russia_nuclear_war_faux.jpg?resize=542,305",false
74,Proof the White Helmets ‘Staged’ a Chemical Attack in Syria?,https://www.snopes.com/fact-check/is-this-proof-white-helmets-staged-chemical-attack/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/white_helmet_staged_photo_faux.jpg?resize=542,305",false
75,Is Starbucks Offering Coupons for Black Customers Only?,https://www.snopes.com/fact-check/starbucks-coupon-for-black-customers-only/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/starbucks_coupons_african_americans_fake_tweet.jpg?resize=542,305",false
76,Did Mark Zuckerberg Announce That He’s Closing Facebook?,https://www.snopes.com/fact-check/mark-zuckerberg-closing-facebook/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/fake_zuckerberg_delete_facebook_video_faux.jpg?resize=542,305",false
77,Was a Statue Guarding the Tomb of the Unknown Soldier Knocked Over by Vandals?,https://www.snopes.com/fact-check/was-statue-unknown-soldier-vandals/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/shutterstock_1516768.jpg?resize=542,305",false
78,Was a Vermont State Trooper Attacked by ‘Hooligans’?,https://www.snopes.com/fact-check/vermont-state-trooper-attacked-hooligans/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/cops_attacked_on_bus_video_facebook.jpg?resize=542,305",false
79,Is This Jeffrey Dahmer Next to an Ice Bong?,https://www.snopes.com/fact-check/jeffrey-dahmer-next-ice-bong/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/not_jeffery_dahmer_ice_bong_miscaption_faux.jpg?resize=542,305",miscaptioned
80,Did a Sperm Whale Die After Swallowing 64 Pounds of Plastic Debris?,https://www.snopes.com/fact-check/sperm-whale-die-swallowing-64-pounds-plastic-debris/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/plastic_whale_faux_feature.jpg?resize=542,305",miscaptioned
81,Is This a Photograph of ‘Liberals’ Protesting Against Donald Trump?,https://www.snopes.com/fact-check/liberals-protesting-trump-photo/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/liberal_protesters_trump_meme.jpg?resize=542,305",false
82,Are These Daredevils Playing Tennis on an Airplane?,https://www.snopes.com/fact-check/daredevils-playing-tennis-airplane/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/tennis_players_plane_twitter.jpg?resize=542,305",mostly-true
83,Did a Sunbather Catch a Cobra with Her Bare Hands?,https://www.snopes.com/fact-check/did-a-sunbather-catch-a-cobra-bare-hands/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/sunbather_catches_snakes_faux.jpg?resize=542,305",miscaptioned
84,Was Arnold Schwarzenegger Forced to Sleep Outside a Hotel He Had Helped Open?,https://www.snopes.com/fact-check/schwarzenegger-hotel-statue/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/arnold_schwarzenegger_hotel_sleeping_bag_meme.jpg?resize=542,305",miscaptioned
85,Did a Sick Child’s Classmates Refuse to Wish Him a Happy Birthday?,https://www.snopes.com/fact-check/did-sick-childs-classmates-refuse-birthday/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/happy_birthday_retweet_boy_illness_twitter.jpg?resize=542,305",miscaptioned
86,Did Donald Trump Say Community College Is ’13th Grade’ for ‘Dummys’?,https://www.snopes.com/fact-check/did-trump-say-community-college-13th-grade/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/trump13thgrade.png?resize=542,305",false
87,Did Donald Trump Scare a Group of Schoolchildren?,https://www.snopes.com/fact-check/did-trump-scare-schoolchildren/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/trump_scares_children_faux.jpg?resize=542,305",false
88,Is Daniel Radcliffe Starring in ‘Harry Potter and the Cursed Child’?,https://www.snopes.com/fact-check/harry-potter-cursed-child-movie-poster/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/daniel_radcliffe_harry_potter_cursed_child_viral_tweet.jpg?resize=542,305",false
89,Were These Monstrous Paws Photographed in Alabama?,https://www.snopes.com/fact-check/monstrous-paws-alabama/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/werewolf_paws_feet_faux.jpg?resize=542,305",false
90,Is This a ‘Short-Tailed Weasel’?,https://www.snopes.com/fact-check/short-tailed-weasel/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/not_a_weasel_faux.jpg?resize=542,305",miscaptioned
91,Is a ‘Stop Killing Alligators to Make Gatorade’ Protest Sign Real?,https://www.snopes.com/fact-check/stop-killing-alligators-gatorade/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/stop_killing_alligators_to_make_gatorade_faux.jpg?resize=542,305",false
92,Are These the Northern Lights Seen From Space?,https://www.snopes.com/fact-check/northern-lights-seen-space/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/NASA_northern_lights_miscaption_faux.jpg?resize=542,305",miscaptioned
93,Did David Hogg Give a Nazi Salute?,https://www.snopes.com/fact-check/david-hogg-give-nazi-salute/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/david_hogg_nazi_salute_meme.jpg?resize=542,305",false
94,Was Emma González Photographed Swinging an Umbrella at a Truck?,https://www.snopes.com/fact-check/was-emma-gonzalez-attacking-truck/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/emma_gonzalez_britney_spears_meme.jpg?resize=542,305",false
95,Did President Donald Trump Slap the Mayor of Mexico City?,https://www.snopes.com/fact-check/did-trump-slap-mexico-city-mayor/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/trump_slapping_mexican_mayor_faux.jpg?resize=542,305",miscaptioned
96,Was Emma González Filmed Ripping Up the U.S. Constitution?,https://www.snopes.com/fact-check/emma-gonzalez-ripping-up-constitution/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/emma_gonzalez_ripping_constitution_faux.jpg?resize=542,305",false
97,Will There Be a Sequel to ‘Napoleon Dynamite’?,https://www.snopes.com/fact-check/napoleon-dynamite-sequel/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/napoleon_dynamite_sequel_facebook.jpg?resize=542,305",false
98,Does This Video Show a Car Exploding at a Gas Station Due to Cellphone Use?,https://www.snopes.com/fact-check/cell-phone-explosion-gas-station/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/gas_station_explosion.jpg?resize=542,305",miscaptioned
99,Did This Camel Lose Half Its Body?,https://www.snopes.com/fact-check/half-body-camel/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/half_camel_faux.jpg?resize=542,305",false
100,"Donald Trump, Melania Trump, and Stormy Daniels?",https://www.snopes.com/fact-check/donald-trump-melania-trump-stormy-daniels/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/trump_melania_stormy_faux.jpg?resize=542,305",false
101,Was a Karl Marx Banknote Released in Germany?,https://www.snopes.com/fact-check/karl-marx-banknote-released-germany/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/karl_marx_0_bolivar_bill_tweet.jpg?resize=542,305",mostly-true
102,Is ‘Super’ Antenna Octa Air a Legitimate Replacement for Cable?,https://www.snopes.com/fact-check/super-antenna-octa-air-legitimate-replacement-cable/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/octa_air_faux.jpg?resize=542,305",mixture
103,Stephen Hawking at a Vietnam War Protest?,https://www.snopes.com/fact-check/stephen-hawking-vietnam-war-protest/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/hawking-vietnam_tweet.jpg?resize=542,305",miscaptioned
104,Did Disney Announce a Remake of ‘Bedknobs and Broomsticks’ with Kate Winslet?,https://www.snopes.com/fact-check/did-disney-announce-bedknobs-broomsticks/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/bedknobs_and_broomsticks_remake_poster_faux.jpg?resize=542,305",false
105,Did the Kray Twins Use an Elephant to Rob a London Tram?,https://www.snopes.com/fact-check/kray-twins-use-elephant-rob-london-tram/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/Kray_twins_elephant_tweet.jpg?resize=542,305",false
106,Did a Little Girl Have a ‘Joker Smile’ Carved Into Her Face in South Africa?,https://www.snopes.com/fact-check/did-girl-smile-carved-face-south-africa/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/little_girl_joker_face_south_africa_tweet.jpg?resize=542,305",false
107,Is This a Jumping Baby Elephant?,https://www.snopes.com/fact-check/is-this-jumping-baby-elephant/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/03/elephant_jumping_faux.jpg?resize=542,305",false
108,Did Donald Trump Stop a Mugging in 1991?,https://www.snopes.com/fact-check/trump-stops-mugging-1991/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/ap_trump_memo.jpg?resize=542,305",unproven
109,Is This Carl Sagan Holding a ‘No Billboards in Space’ Sign?,https://www.snopes.com/fact-check/is-this-carl-sagan-holding-a-no-billboards-in-space-sign/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/carl_sagan_no_billboards_in_space_faux.jpg?resize=542,305",false
110,Did Trump Use ‘Crib Notes’ During Listening Session with Parkland Survivors?,https://www.snopes.com/fact-check/trump-crib-notes-parkland/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/trump_crib_notes_tweet.jpg?resize=542,305",true
111,Is This James Hetfield Standing Near a Bear He Killed?,https://www.snopes.com/fact-check/is-james-hetfield-standing-near-a-bear-he-killed/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/James_Hetfield_bear_hunt_miscaption_faux.jpg?resize=542,305",false
112,Did a Huge Shark Wash Up on a North Carolina Beach?,https://www.snopes.com/fact-check/did-huge-shark-wash-up-kitty-hawk/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/shark_kitty_hawk_beach_facebook.jpg?resize=542,305",false
113,Presidential Responses to School Shootings?,https://www.snopes.com/fact-check/presidential-responses-school-shootings/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/obama_trump_after_shooting_meme.jpg?resize=542,305",mixture
114,Was Parkland Student Chris Williams Shot While Saving Classmates?,https://www.snopes.com/fact-check/chris-williams-parkland/,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/chris_williams_parkland_shooting_facebook.jpg?resize=542,305",false
